,QUESTION_TITLE,QUESTION_BODY,ACCEPTED_ANSWER_BODY,QUESTION_SCORE,QUESTION_VIEWS,ANSWER_SCORE,ANSWER_COMMENT_COUNT,ANSWER_REPUTATION,QUESTION_BODY_HAS_CODE,ACCEPTED_ANSWER_BODY_HAS_CODE
189,Python: Issue with POST data in Requests,"I'm trying to use the Requests 2.9.1 in Python 2.7 to learn how to send POST data.  However I feel that I'm missing something in the data I'm providing to requests, or somehow misformating something and have been banging my head at it all night. The site I'm basing the form data off of is : http://qpublic9.qpublic.net/la_orleans_address.php I used Charles (https://www.charlesproxy.com) to see the actual content of the POST data, and here is what I saw.  The data I entered was 1013 for the Street Number (field is streetNumber) and ST ANN (relying on the autocomplete) for the *Street Name** (streetName is the field here).  This is all I needed to enter on the website manually, and I received this POST data from Charles:  Originally I was trying with just the streetNumber and streetName, since that was the only data I input when testing from the website, but this produced an error.  Now I'm entering null fields for the data that has nothing entered, I'm guessing this might be causing the problem but I'm not sure.  Below is what I'm using for code, followed by the error message I'm receiving (which is an SQL error message, making me think there's something wrong with the way I'm formatting the data payload perhaps).  The output and error:  Since I'm just a user, and not a developer for the site, I don't have access to see what their backend code looks like, but since it works from the site in my browser I'm guessing it's something to do with my payload formatting rather than their code. Any suggestions on what I might be missing?  Or any experience with similar problems?  No matter how many empty fields I remove I end up with that same error. Thanks! EDIT: In my code I'm not using the backslashes for the python code, I'm using that here for easier reading.  Also the error message doesn't have line breaks in it, again just for readability.  Since I'm not familiar with the structure of POST data I'm leaving that as is from Charles in case changing something might cause a miscommunication. EDIT 2: Also I'm receiving a response code of 200 () when I test for that, so it doesn't appear to be an error with the connection over HTTP, so again that makes me think I'm missing something with the POST data.","Take out all the  characters that you put between words. That's the URL-encoded representation of space, but the  module does that for you. If you use it explicitly, it will re-encode the , so the server script will see it as a literal , not the space that it should be decoded to. You're also missing the  parameter in . In my tests, that seems to be the cause of the error you're getting.  If you look in the web page source, that's one of the hidden inputs: ",0.0,0.007484407484407485,0.0,0.0,1.0,1,1
190,CURL: using curl commands for AEM Prod instance,"I have an AEM production server instance and I need to execute cURL command to delete a user, but it's saying access denied. Please help me with it.  I'm able to do this when I'm working on localhost. But I'm not able to do the same on production instance.","Could be several reasons, your production AEMURL may have something in the way - such as apache (dispatcher) or a proxy that is denying these sort of requests, or more likely this node is restricted with the user that you are using to log in with. You will need to check the permissions for this node. Are you actually logged into the production box with SSH or is this command also issued from your local PC?  In the error message is there any indication what has actually told you your access is denied? ",0.2,0.002494802494802495,0.0,0.14285714285714285,1.0,1,0
191,php foreach preg_match explode,"I am creating a function that reads in a tab delimited text file and then stores the values in a two dimensional array. The text file has a line of data then a line of just tabs (because it is exported from excel), I have chosen to use tabs over commas because there are commas in some of the values. I open the file for reading, then use $lines = file($filename); to put each line of the file in the array as an element. Then I use this foreach loop, and I would like to unset it if it is a line of all tabs, and explode it (to create the two dimensional array) if it has data. This is my current code:  This is the input:  This is the output:  My issue is that preg_match works if I do:  but does not work if I do:  It just looks over it and returns false and does not unset the line. Why does it do that?  Thank you in advance. "," is not the correct way to reference the element of the array.  is the value, not the key.  Change:  to:  The reason for this is that  is part of the syntax for variable interpolation -- the  are needed for complex arrays, but they're also allowed for ordinary variables. So the whole expression, including the braces, is replaced by the variable value, resulting in a regexp . So you need to wrap another set of braces around it to get them to be retained for the regexp notation. You could also use concatentation: ",0.2,0.06278586278586279,0.0,0.14285714285714285,0.5227545053460433,1,1
192,Ajax load click function only works once,"I've been fiddling for a couple hours now and I can't figure out why this is happening. I've written a jquery navigation script that replaces content in a div called ""contentwrapper"". The content is supposed to hide, a loading animation is displayed then disappears, and the new content fades in. The problem is that the animation does not happen every other time. On first click, it works, but the page refreshes on the second click. The cycle continues. It's as if the click function is not active despite the use of . Here is my code:  Here it is in action I tried applying everything I could find on the interwebs, to no avail.","I think I know why this is happening. In your click handler, your final statement is:  Which indicates that you want the click event to be 'cancelled' after running your code (which AJAX-loads the content into the page). The problem is that it actually fails to prevent the click event to be 'cancelled'. Look at the URL/address bar in your browser: when you click on the header items, you will see that the URL changes. Your browser is reloading the page every time. Sometimes you will get to see the animation because the AJAX request completes before the browser loads the page. In order to fix this, I suggest you make your header elements something other than anchors (<a>). Make them inline paragraph blocks (<p>) or something. jQuery can detect clicks on any element so your code will work. Finally, if you do the above, and you still want to support browsers with JavaScript disabled, you could use a <noscript> block which would use the old-school anchors (with href attribute and everything) for those people. This is optional and only if you want support for users without Javascript (small minority).",0.2,0.0004158004158004158,0.0,0.14285714285714285,1.0,1,1
194,MySQL. Insert and select data to database without duplicates,"I'm creating flash game, where players need to pass game as quickly as they can. I have made players TOP 10 and it's ordered by time(from lowest to highest), but I have a problem, if the same player play few times he is always adding to database. I need to make that player and his best (lowest) time only once will be written to database or only once printed out his name. (If player's Time is lower than is saved in database only in that case I need update/insert It.) Thank you. Example how It is:  Example how should be:  here is my SelectFromDB.php  Here is my InsertToDB.php ",Only change your select: ,0.2,0.12224532224532225,0.0,0.0,0.0002908159227239513,1,1
195,Fatal error: Uncaught Error: Call to undefined method prepare(),"Im new to OOP. These are my functions. My prepared statement is not  working :  The error that this function gives me once called upon is  Fatal error: Uncaught Error: Call to undefined method Connect::prepare();  Class Connect is from where I get my connection instance and I'm pretty sure I don't have a typo. Prepared statements are made on  classes, right? So why does my prepare statement take in  class but not ? EDIT : This is my Connect class "," is implemented inconsistently. When it's called the first time, it creates a  object and returns that. Other times, it returns the  object in .   should always return the  object, and you should have another method for returning the  object.  Then the first class should do: ",0.0,0.01288981288981289,0.0,0.0,1.0,1,1
196,PHP - Notice: Undefined index: submenu,"I'm trying to create an menu with . I created two tables on my database, here the data: Menu table -  Submenu table -  I'm doing a specie of MVC, but with my own rules, here the model: I'm calling two tables here  And I'm calling the view here, as you can see, I'm trying to show the   And is giving me this error:  I did a var_dump too  Maybe the error is from the array",Your query should be:  Then the function to print the menus should be: ,0.2,0.0012474012474012475,0.0,0.2857142857142857,0.0015516317902296893,1,1
197,Count() function in mysql,my count function counts the records of the first table twice then add to that same result rather than add the count() of the two table records. How can I work around this?   The result of this is user_id --> 7 user_pet_notif_id --> 28 rather than user_id --> 7 user_pet_notif_id --> 9,"You need to do the counts without joining, otherwise you're counting the number of rows in the result of the join. ",0.0,0.06777546777546778,0.0,0.0,1.0,1,1
198,Using array for MySQL Select Statement,"Apologies in advance if i use the wrong definition of a word...I am using SimpleCart to pass $.Post variables to a PHP page. If i print the array i get Array ( [currency] => CAD [shipping] => 0 [tax] => 1.69 [taxRate] => 0.13 [itemCount] => 3 [item_name_1] => Dinner Plate [item_quantity_1] => 1 [item_price_1] => 5 [item_options_1] => code: 110 [item_name_2] => Side Plate [item_quantity_2] => 1 [item_price_2] => 4 [item_options_2] => code: 125 [item_name_3] => Mixing Bowl [item_quantity_3] => 1 [item_price_3] => 4 [item_options_3] => code: 66 ) What I am struggling with (and going around in circles) is a method to do the following.. Explode the [item_options] variable to strip out the CODE: part of the value and just leave the numeric section. concatenate these values into a string so i can use a SELECT statement to only pull records that have an ID passed in the [item.options]. I understand how to explode a single parameter, but cannot work out how to loop through the array, explode the key and create the value i need for the SQL. Any help or pointers to relevant tutorials would be much appreciated",,0.0,0.14054054054054055,0.0,0.0,0.002486660200000368,0,1
199,Why do I keep getting a payment method not entered when processing a credit card transaction via Stripe,"I am having some technical difficulties, my programming knowledge is limited so it's probably an easy fix. I am attempting to integrate Stripe credit card transactions into our website, https://cdunion.ca/stripe/. Everything is working, it will connect to Stripe, no error messages, but when I log into my Stripe dashboard, every transaction is listed as 200 ok but also listed as incomplete. The exact error is ""The customer has not entered their payment method"". I have been Googling and racking my brain out over this for 2 weeks, with no success. I have checked and cards payment method is enabled in my Stripe dashboard. My code is listed below. I am using the Stripe library in Composer on both my home testing server and my live server. Any assistance you can offer is greatly appreciated, merci. PS The credit card listed is specifically for testing purposes used by all credit card processors, so do not worry, no confidential information has been released. ",You need to pass the ID of the payment method when creating the payment intent. ,0.4,0.011226611226611227,0.0,0.8571428571428571,1.0,1,1
