,QUESTION_TITLE,QUESTION_BODY,ACCEPTED_ANSWER_BODY,QUESTION_FAVORITES,QUESTION_SCORE,QUESTION_VIEWS,ANSWER_SCORE,ANSWER_COMMENT_COUNT,QUESTION_BODY_HAS_CODE,ACCEPTED_ANSWER_BODY_HAS_CODE
0,"Meteor - ""this"" return a function as string in a template event","I set a data field with Iron router containing 2 fields and :  In my template's submit event, I want to get values from my fields, this is what I do:  The problem is , I would like to log my MongoDB object so I can access things like , but instead what is log a string containing my router's source code:  Here is an image of my chrome console: Google console http://img15.hostingpics.net/pics/385623Capture.png",Try calling function: ,,0,17,0,2,1,1
1,Attribute vs constant access in javascript,I'm working on High-performance oriented web components and I doubt if it's worths assign an object attribute's value to a constant before accessing it multiple times. I mean turning this:  Into this:  In Python this change would have a sentitive impact in performance. However the tests I have made (code at https://gist.github.com/Edorka/fbfb0778c859d8f518f0508414d3e6a2) shows no difference:   I doubt if I'm making my tests wrong or if the VM has any optimization for this case I'm not aware of. UPDATE: Following @George Jempty suggestion I made a quick adaptation on JSPerf at https://jsperf.com/attribute-vs-constants but results keep being  quite erratic.,"Nested property access is one of the most frequently executed operation in JavaScript. You can expect it to be heavily optimized. Indeed, the V8 engine caches object properties at run time, so the performance benefit of caching manually would be negligible. Live demo on jsperf.com  Conclusion: don't worry about it!",,1,46,1,0,1,0
2,Programmatic method to let the user modify the manifest.json content of a Chrome extension,"I am developing a Chrome extension for use with the Canvas LMS. A problem with this is that Canvas subscribers have different URLs which do not have a common top level domain. For instance, my University's Canvas site has the URL  while another school might have . But I can't enter  in the   file, since top-level wildcards are not allowed (see this post for elaboration). Instead, I have to enter , and then programmatically (in the  code) weed out sites that don't have ""canvas"" in them.  That works in its own kludgy way, but Chrome Web Store is not very happy about it, which delays my updates by days. One could of course use a narrow/dummy  value and then ask the users to edit the manifest themselves to include the specific URL in used in each respective case, but how likely would they be to do that? Instead I would like the extension to launch a local page that prompts the user to input the specific URL and then edits the  file on that particular machine accordingly. Would that be possible and if so, how?","An installed extension from the web store cannot be modified, its contents is protected and verified by Chrome. Only unpacked local extensions in developer-mode can be modified. Solutions:   Add  (info) in addition to your . This won't help you reduce the review time in the web store, most likely. Remove  section, as well as hosts from  and switch to programmatic injection in a chrome.tabs.onUpdated (info) listener. This requires you to switch to optional permissions (you'll show a button/command in your UI to grant the URL permission) which will help you with the web store review times. There's even a more advanced declarativeContent API (with RequestContentScript action which is actually supported in stable Chrome). ",,0,170,1,5,1,1
3,Problem with numeric_limits,Why this doesn't work?    I'm getting error :Error 1 error C2057: expected constant expression What isn't constant about it? Limits of long int are known at compile time so what's the problem?,The problem is that although  function returns constant value it is called in run-time and you need constant value in compile-time Probably you can just use  value instead (see climits header)?,1.0,5,1140,5,5,1,1
4,Is John Resig's OO JavaScript implementation production safe?,"For a long time I have been throwing around the idea of making my JavaScript more object oriented. I have looked at a few different implementations of this as well but I just cannot decide if it is necessary or not. What I am trying to answer are the following questions  Is John Resig's simple inheritance structure safe to use for production? Is there any way to be able to tell how well it has been tested? Besides Joose what other choices do I have for this purpose? I need one that is easy to use, fast, and robust. It also needs to be compatible with jQuery. ","Huh. It looks much more complicated than it needs to be, to me. Actually looking more closely I really take exception to what it is doing with providing  whilst in a method, to call the superclass method. The code introduces a reliance on  (unreliable for some objects),  (argh, function decomposition is also unreliable), and deciding whether to wrap based on whether you've used the sequence of bytes  in the function body (even if you've only used it in a string. and if you try eg.  it'll fail). And if you're storing properties on your function objects (eg , which you might do to keep namespaces clean) the wrapping will stop you from getting at those properties. And if an exception is thrown in a method and caught in another method of the same object,  will end up pointing at the wrong thing. All this is just to make calling your superclass's method-of-the-same name easier. But I don't think that's especially hard to do in JS anyway. It's too clever for its own good, and in the process making the whole less reliable. (Oh, and  isn't valid in Strict Mode, though that's not really his fault since that occurred after he posted it.) Here's what I'm using for classes at the moment. I don't claim that this is the “best” JS class system, because there are loads of different ways of doing it and a bunch of different features you might want to add or not add. But it's very lightweight and aims at being ‘JavaScriptic’, if that's a word. (It isn't.)  It provides:  protection against accidental missing . The alternative is to silently redirect  to  so missing  works. It's a toss-up which is best; I went for explicit error so that one doesn't get used to writing without  and causing problems on other objects not defined like that. Either way is better than the unacceptable JS default of letting  properties fall onto  and mysteriously going wrong later. an inheritable  method, so you don't have to write a constructor-function that does nothing but call the superclass constructor function.  and that's really all. Here's how you might use it to implement Resig's example:  Superclass-calling is done by specifically naming the method you want and ing it, a bit like in Python. You could add a  member to the constructor function if you wanted to avoid naming  again (so you'd say , or perhaps ).",19.0,24,2136,19,5,0,1
5,CSS Make text over image more readable,"I'm working a few things right now, and this just won't work! Basically what I'm trying to do is put a black opaque ""screen"" over my image so it's not as bright and you can read what the text on top of the image says. Example featured here:  This is what I have currently. ",If I got you correctly then you can just try blurring the photo a little that the text doesn't show up to the user however this approach and your approach aswell may be changed through firebug or any other thing like that and make the text visible to the user so this is somewhat insecure. The best way I think to fix that is to edit the photo and add the overlay maunally so that no one could ever see the original image. So here's how to blur the photo(Cross Browser Image Blur with CSS): ,1.0,3,9805,5,6,1,1
6,drupal search for a specific content type along with its node type for comments,"I have a content type called 'ticket';  its Node type for comments is 'interaction'. I want a search interface which searches through only these two (ticket,interaction) content-types; and output the node-link/title  Also, even though matches are found in interactions, i should be displaying the respective ticket node-link/title. (since interaction are actually the comments for the ticket node) Can anybody please help me achieve this? Thanks!","You should try using the Views module in conjunction with the core search module. You can create a view, filter the content type to ticket, and then add an exposed ""Search: Search Terms"" filter to your view. Of course you could also write a quick custom module and do your own query.",,0,372,0,7,0,0
7,Extract a line with a string with double quote by using findstr,"First of all thank you for this site, I'm a terrible coder and so i need your help with making a batch script, i try to extract only lines that contains Copy "" in that line from a text file by using findstr which actually works without that whitespace and double quote. But it will extract the line with ""Copy and Help"" too which i don't need. Example: My text contains (source.txt)  Output file (op.txt) (should be)  After my original code I tried to usebut this doesn't work. To let the findstr know to search a line containing  Copy[whitespace][double quote] Updated section First off my required batch script is working from help by foxidrive. There is still some tweak to do, but i will post it as another question. This question is answered. This is my updated code for now.  Thanks foxidrive for the start off and solving my first issue. Sorry for my English, it's poor like my coding",A simplistic solution is to use this  Or this is another workaround: ,1.0,1,1205,1,8,1,1
8,"What are the reduceAdd, reduceSum , reduceRemove functions in crossfilter? How should they be used?","Can someone explain in simple terms how reduce function with its arguments , ,  works in ? ","Remember that map reduce reduces a dataset by keys of a particular dimension. For example lets use a crossfilter instance with records:  and dimensions name, age, worth, and gender. We will reduce the gender dimension using the reduce method. First we define the reduceAdd, reduceRemove, and reduceInitial callback methods.  returns an object with the form of the reduced object and the initial values. It takes no parameters.   defines what happens when a record is being 'filtered into' the reduced object for a particular key. The first parameter is a transient instance of the reduced object. The second object is the current record. The method will return the augmented transient reduced object.   does the opposite of  (at least in this example). It takes the same parameters as . It is needed because group reduces are updated as records are filtered and sometimes records need to be removed from a previously computed group reduction.  Invoking the reduce method would look like this:  To take a peek at the reduced values, use the  method. To see the top n values use the  method.  The returned array would (should) look like:  The goals of reducing a dataset is to derive a new dataset by first grouping records by common keys, then reducing a dimension those groupings into a single value for each key. In this case we grouped by gender and reduced the worth dimension of that grouping by adding the values of records that shared the same key. The other reduceX methods are convience methods for the reduce method. For this example  would be the most appropriate replacement.  Invoking  on the returned grouping would (should) look like:   will count records  Invoking  on the returned grouping would (should) look like:  Hope this helps :) Source: https://github.com/square/crossfilter/wiki/API-Reference",33.0,31,13777,55,8,1,1
9,MongoDB update data in nested field,"i'm using Mongo to be my database. i have a data:  now, i wanna to motify user's friends' emails ' email,  whose _id is '123'  i write like this:  it's easy, but , it's wrong , when the emails array has two or more data. so, my question is:  how can i motify  the data in a nested filed --- just have two or more nested array? Thanks.","You need to use the Dot Notation for the arrays. That is, you should replace the  with the zero-based index of the element you're trying to update. For example:  will update the first email of the first friend, and  will update the second email of the first friend.",10.0,55,65476,87,8,1,1
